"Date","LongName","Distributed","Doses Administered","Administered_Dose1_Recip","% total population with at least 1 shot","Administered_Dose1_Recip_12Plus","% population over 12 with at least 1 shot","Administered_Dose1_Recip_18Plus","% of adults with at least 1 shot","Administered_Dose1_Recip_65Plus","% of seniors with at least 1 shot","Series_Complete_Yes","% total population fully vaccinated","Series_Complete_12Plus","% population over 12 fully vaccinated","Series_Complete_18Plus","% of adults fully vaccinated","Series_Complete_65Plus","% of seniors fully vaccinated","Percent.Of.Distributed.Administered","Pct_Distributed_Rank","First_Dose_Rank","Second_Dose_Rank"
2021-12-15,"Alaska",1311475,998574,469553,64.2,454145,74.6,420874,76.3,84846,92.6,407250,55.7,399679,65.6,370979,67.3,76886,83.9,76.1,45,35,34
2021-12-15,"Alabama",8050350,5460176,2828316,57.7,2798765,66.8,2652336,69.5,782424,92.1,2304915,47,2295744,54.8,2182947,57.2,672849,79.2,67.8,52,47,50
2021-12-15,"Arkansas",4981130,3680723,1863231,61.7,1826123,71.4,1702889,73.5,481270,91.9,1522070,50.4,1506040,58.9,1406207,60.7,407935,77.9,73.9,48,38,46
2021-12-15,"Arizona",12240490,10107688,4801858,66,4689109,75.6,4346753,77.1,1237451,94.6,4084304,56.1,4039885,65.1,3761981,66.7,1086793,83,82.6,20,31,29
2021-12-15,"California",73894795,62975652,31969312,80.9,31132662,92.5,28764016,93.9,6417059,95,25696015,65,25244415,75,23309770,76.1,5029468,86.1,85.2,11,14,18
2021-12-15,"Colorado",10627255,9127029,4212772,73.2,4075297,82.6,3786075,84.1,817907,95,3754553,65.2,3671414,74.4,3412873,75.9,747379,88.7,85.9,9,21,17
2021-12-15,"Connecticut",7184835,6374882,3086161,86.6,2999886,95,2781827,95,707465,95,2633582,73.9,2583505,83.2,2393942,84.4,594902,94.4,88.7,4,6,5
2021-12-15,"District of Columbia",1533895,1226664,601464,85.2,585213,95,557797,95,93628,95,468297,66.4,460348,75.5,440232,76.2,77049,88.2,80,29,8,13
2021-12-15,"Delaware",1934125,1528187,732187,75.2,716746,85.3,672663,87.3,202412,95,615391,63.2,607779,72.4,570150,74,174469,92.4,79,33,18,21
2021-12-15,"Florida",40092675,32476162,15730503,73.2,15509866,83,14633502,84.8,4593600,95,13445468,62.6,13331386,71.3,12605787,73.1,3978750,88.5,81,24,21,22
2021-12-15,"Georgia",18007865,12816855,6389285,60.2,6280819,69.9,5862033,72.2,1390781,91.7,5329048,50.2,5283871,58.8,4960905,61.1,1212687,79.9,71.2,50,44,47
2021-12-15,"Hawaii",2895880,2151540,1185294,83.7,1156107,95,1078943,95,296838,95,885851,62.6,869734,71.8,817781,73.3,239308,89.1,74.3,47,11,22
