"Date","LongName","Distributed","Doses Administered","Administered_Dose1_Recip","% total population with at least 1 shot","Administered_Dose1_Recip_12Plus","% population over 12 with at least 1 shot","Administered_Dose1_Recip_18Plus","% of adults with at least 1 shot","Administered_Dose1_Recip_65Plus","% of seniors with at least 1 shot","Series_Complete_Yes","% total population fully vaccinated","Series_Complete_12Plus","% population over 12 fully vaccinated","Series_Complete_18Plus","% of adults fully vaccinated","Series_Complete_65Plus","% of seniors fully vaccinated","Percent.Of.Distributed.Administered","Pct_Distributed_Rank","First_Dose_Rank","Second_Dose_Rank"
2021-11-09,"Alaska",1219685,898205,439443,60.1,438069,71.9,406401,73.7,82427,90,388302,53.1,387429,63.6,360169,65.3,75703,82.7,73.6,45,35,35
2021-11-09,"Alabama",7456320,4974840,2696907,55,2696471,64.4,2554720,67,760727,89.5,2214496,45.2,2214405,52.9,2106039,55.2,657109,77.3,66.7,51,45,49
2021-11-09,"Arkansas",4605820,3332542,1767997,58.6,1761883,68.9,1643323,70.9,468095,89.4,1461655,48.4,1460140,57.1,1364333,58.9,399535,76.3,72.4,47,37,44
2021-11-09,"Arizona",11145560,9012914,4499482,61.8,4497723,72.5,4176414,74.1,1199699,91.7,3901482,53.6,3901085,62.9,3635203,64.5,1057699,80.8,80.9,23,30,31
2021-11-09,"California",65558965,55671028,29832369,75.5,29702289,88.3,27464757,89.7,6141155,99.9,24447383,61.9,24398305,72.5,22560874,73.7,4890399,83.8,84.9,7,12,17
2021-11-09,"Colorado",9299635,7967585,3939283,68.4,3917834,79.4,3640569,80.9,796666,94.6,3576239,62.1,3568066,72.3,3319693,73.8,732164,86.9,85.7,6,21,16
2021-11-09,"Connecticut",6405345,5581584,2860150,80.2,2853341,91.9,2641637,93.1,675752,99.9,2536633,71.1,2536069,81.7,2352045,82.9,590223,93.6,87.1,2,4,5
2021-11-09,"District of Columbia",1354955,1102591,539526,76.4,539063,88.4,512689,88.8,88366,99.9,445765,63.2,445710,73.1,426661,73.9,75662,86.6,81.4,21,10,13
2021-11-09,"Delaware",1768425,1348976,682650,70.1,681717,81.2,639430,83,195180,99.9,588971,60.5,588917,70.1,552836,71.8,170726,90.4,76.3,38,17,21
2021-11-09,"Florida",36303255,29210389,14973862,69.7,14954221,80,14108327,81.8,4470911,99.4,12929870,60.2,12928064,69.1,12230237,70.9,3901197,86.7,80.5,24,19,22
2021-11-09,"Georgia",16396995,11794648,6107299,57.5,6095182,67.8,5689503,70.1,1365317,90,5178787,48.8,5178126,57.6,4866434,60,1211426,79.9,71.9,49,41,43
2021-11-09,"Hawaii",2676660,2007776,1127067,79.6,1121195,92.6,1046542,93.8,288193,99.9,851360,60.1,849839,70.2,800208,71.7,235718,87.8,75,44,6,23
2021-11-09,"Iowa",4920995,3882251,1903992,60.3,1899056,71,1779438,73.3,525983,95.1,1765362,56,1765334,66,1658572,68.3,498463,90.1,78.9,29,33,26
2021-11-09,"Idaho",2576300,1778416,887266,49.6,0,0,884718,66.1,261035,89.8,792860,44.4,0,0,791134,59.1,241831,83.2,69,50,51,51
2021-11-09,"Illinois",20058495,16740820,8429754,66.5,8404329,77.5,7799012,79.1,1914811,93.7,7734722,61,7718025,71.2,7168987,72.8,1768805,86.6,83.5,12,22,20
2021-11-09,"Indiana",9478320,7404005,3651855,54.2,3645457,63.9,3421601,66.3,964013,88.8,3374129,50.1,3373916,59.1,3179591,61.6,921640,84.9,78.1,31,47,41
2021-11-09,"Kansas",4480155,3443255,1848112,63.4,1844592,75.2,1718177,77.6,494360,99.9,1563560,53.7,1563523,63.8,1457558,65.9,411655,86.6,76.9,33,26,30
2021-11-09,"Kentucky",6626815,5057650,2595805,58.1,2592500,68.1,2440571,70.4,688494,91.7,2285766,51.2,2285610,60.1,2157193,62.3,620544,82.7,76.3,38,39,37
2021-11-09,"Louisiana",6480740,4967426,2521458,54.2,2521098,64.3,2376249,66.7,654518,88.3,2233184,48,2233030,56.9,2116328,59.4,620751,83.8,76.6,36,47,46
2021-11-09,"Massachusetts",12455120,10770746,5616316,81.5,5584822,92.8,5198819,93.8,1269446,99.9,4832962,70.1,4821415,80.1,4489796,81,1062151,90.8,86.5,4,2,6
2021-11-09,"Maryland",11320030,8787145,4441811,73.5,4440234,86,4098268,87,947057,98.7,4013299,66.4,4013069,77.7,3711489,78.8,872170,90.9,77.6,32,14,9
2021-11-09,"Maine",2468160,2052027,1047413,77.9,1046132,88.3,985484,90,302161,99.9,956661,71.2,956622,80.7,901715,82.3,272693,95.6,83.1,14,9,4
2021-11-09,"Michigan",15428290,11836574,5875001,58.8,5866010,68.2,5522294,70.4,1614975,91.5,5377840,53.8,5377703,62.6,5070061,64.6,1500836,85,76.7,35,36,28
2021-11-09,"Minnesota",8961860,7564211,3722608,66,3702148,77.5,3442124,79.4,906681,98.5,3474820,61.6,3466663,72.6,3224669,74.4,861134,93.6,84.4,10,23,18
2021-11-09,"Missouri",8731335,6968902,3528110,57.5,3524542,67.3,3310659,69.5,958608,90.3,3077747,50.1,3077671,58.8,2896670,60.8,858703,80.9,79.8,26,41,41
2021-11-09,"Mississippi",4234505,3057408,1565060,52.6,1564808,62.1,1467654,64.4,422302,86.8,1374832,46.2,1374748,54.5,1295620,56.9,391284,80.4,72.2,48,49,48
2021-11-09,"Montana",1553115,1236276,615166,57.6,614982,67,579776,69,186610,90.4,544622,51,544571,59.3,515162,61.3,170698,82.7,79.6,28,40,38
2021-11-09,"North Carolina",16716820,12725344,6898582,65.8,6878840,76.6,6462199,78.9,1856351,99.9,5585280,53.3,5580203,62.1,5238566,64,1444155,82.5,76.1,40,24,34
2021-11-09,"North Dakota",1091870,835642,424234,55.7,423000,66.4,400403,68.8,113279,94.5,365337,47.9,364960,57.3,346034,59.5,97392,81.3,76.5,37,44,47
2021-11-09,"Nebraska",2947380,2413268,1193201,61.7,1189537,73.5,1105406,75.8,294865,94.4,1095373,56.6,1095274,67.7,1020163,70,278934,89.3,81.9,19,32,25
2021-11-09,"New Hampshire",2438530,1976488,1078050,79.3,1076489,89.8,1016683,92.1,330174,99.9,861698,63.4,861462,71.9,811383,73.5,227948,89.8,81.1,22,7,12
2021-11-09,"New Jersey",15716475,12621584,6743218,75.9,6732716,88.4,6250159,90,1477569,99.9,5932492,66.8,5932251,77.9,5511506,79.4,1300814,88.2,80.3,25,11,8
2021-11-09,"New Mexico",3391665,2912035,1533066,73.1,1530922,85.6,1414578,87.3,385563,99.9,1311937,62.6,1311846,73.4,1213349,74.9,335588,88.9,85.9,5,15,15
2021-11-09,"Nevada",4501510,3737729,1976584,64.2,1974879,75.3,1845996,77.3,458149,92.4,1647401,53.5,1647360,62.8,1548896,64.9,394272,79.5,83,15,25,32
2021-11-09,"New York",33186845,28147724,14618489,75.1,14607702,87.1,13656910,88.5,3170085,96.2,13087967,67.3,13087070,78,12249284,79.4,2832470,85.9,84.8,8,13,7
2021-11-09,"Ohio",17106875,13406944,6579541,56.3,6571390,65.7,6186237,67.9,1819559,88.9,6102837,52.2,6102728,61,5759554,63.2,1733700,84.7,78.4,30,43,36
2021-11-09,"Oklahoma",5577170,4608699,2387803,60.3,2385201,71.7,2235233,74.4,623994,98.2,2001258,50.6,2001184,60.2,1876724,62.5,525230,82.7,82.6,18,33,39
2021-11-09,"Oregon",7547345,5793597,2909055,69,2897590,79.4,2709552,80.9,718427,93.8,2667455,63.2,2661648,73,2493423,74.4,673013,87.9,76.8,34,20,13
2021-11-09,"Pennsylvania",22011795,18230746,10273524,80.2,10268408,92.7,9685192,95.3,3032411,99.9,7847245,61.3,7845539,70.8,7397042,72.8,2191749,91.6,82.8,16,4,19
2021-11-09,"Puerto Rico",5265440,5117477,2642314,82.7,2640951,92.7,2432049,92.8,643476,94.7,2360647,73.9,2360235,82.9,2177704,83.1,572940,84.3,97.2,1,1,1
2021-11-09,"Rhode Island",1905745,1616003,839687,79.3,837885,90.3,781652,91.4,198334,99.9,756788,71.4,756736,81.6,706541,82.6,179838,96.1,84.8,8,7,3
2021-11-09,"South Carolina",7967785,5864549,3001224,58.3,2993009,67.7,2824633,70,891910,95.2,2598471,50.5,2595610,58.7,2453566,60.8,781933,83.4,73.6,45,38,40
2021-11-09,"South Dakota",1409635,1068985,559239,63.2,558930,75.7,521783,78.2,158621,99.9,472663,53.4,472647,64,444332,66.6,135835,89.4,75.8,43,28,33
2021-11-09,"Tennessee",9606290,7658125,3757414,55,3756527,64.4,3553330,66.8,1004811,87.9,3286161,48.1,3285970,56.3,3122367,58.7,920255,80.5,79.7,27,45,45
2021-11-09,"Texas",46500495,35310032,17940843,61.9,17925365,74.4,16425378,76.1,3401137,91.1,15588676,53.8,15586385,64.7,14358256,66.5,3063812,82,75.9,42,29,28
2021-11-09,"Utah",4619740,3821824,1982372,61.8,1981644,76.4,1794536,78.9,356866,97.5,1742513,54.4,1742172,67.2,1582037,69.5,319466,87.3,82.7,17,30,27
2021-11-09,"Virginia",14592035,12164053,6155838,72.1,6119996,83.8,5674536,85,1345630,99,5436764,63.7,5424628,74.2,5028393,75.3,1196371,88,83.4,13,16,11
2021-11-09,"Vermont",1216340,1024686,503489,80.7,502647,91.2,469435,92,134711,99.9,447859,71.8,447813,81.3,418195,82,122526,98,84.2,11,3,2
2021-11-09,"Washington",13056655,10653762,5335113,70.1,5333608,82,4969318,83.5,1170690,96.8,4876003,64,4875714,75,4549463,76.4,1090098,90.1,81.6,20,17,10
2021-11-09,"Wisconsin",8745225,7591686,3685873,63.3,3680397,73.6,3444915,75.6,989404,97.3,3418923,58.7,3418723,68.4,3211291,70.5,937552,92.2,86.8,3,27,24
2021-11-09,"West Virginia",3245205,1595383,881870,49.2,881103,56.6,837879,58.5,297651,81.1,736848,41.1,736545,47.3,705058,49.2,263561,71.8,49.2,52,52,52
2021-11-09,"Wyoming",779965,593608,298804,51.6,298763,60.9,282181,63.4,87383,88.1,257742,44.5,257731,52.5,244473,54.9,79280,79.9,76.1,40,50,50
